ad_id,date_range_start,ad_url,advertiser_id,advertiser_name,youtube_url,ad_text
CR06816033659036893185,2020-03-12,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR06816033659036893185?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=1tPFGsOivHM&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Cuando Joe Biden se enfrentó al NRA, logró que se prohibieran las armas de asalto por 10 años. Así que si está cansado de decir nunca más, y si quiere detener al NRA de una vez y por todas, vote por Joe Biden para presidente."
CR17518932181727051777,2020-10-14,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR17518932181727051777?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=_C-WvLV5UII&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," People have been denied the right to vote. First, they used the poll tax to keep black folks from voting. Then, it was the literacy test, racial terrorism, and violence. I don't want everybody to vote. New Day, same old dirty tricks. President Trump sabotaging vote by mail. If your vote didn't matter, they wouldn't try so hard to take it from you. Vote early. Not because I want you to. But because he doesn't. New Day, same old dirty tricks."
CR17406877790644469761,2020-09-08,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR17406877790644469761?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=MSZO8zPUYL0&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," My future and the future of everyone my age depends on this election, and that's why I'm voting for Joe Biden."
CR17616576648293908481,2020-07-16,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR17616576648293908481?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=uLwYRdUxNcY&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," After a car crash changed his life forever, Joe Biden took the train home from Washington every day to raise his sons. They had the health care they needed. Too many families don't. And that's why Joe Biden is running for president."
CR14354267786883104769,2020-08-11,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR14354267786883104769?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=7ShIz1wlcSw&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Leadership is built on trust. Joe Biden led the Recovery Act, saved millions of jobs. So when Joe Biden says he'll build our economy back better, we trust him."
CR03291104933503303681,2020-03-12,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR03291104933503303681?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=1tPFGsOivHM&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Cuando Joe Biden se enfrentó al NRA, logró que se prohibieran las armas de asalto por 10 años. Así que si está cansado de decir nunca más, y si quiere detener al NRA de una vez y por todas, vote por Joe Biden para presidente."
CR13917995454315888641,2020-09-18,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR13917995454315888641?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=IwkmXY14TnQ&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," When Trump lost control of the coronavirus, Americans lost their jobs, their lives, and the moments we live for. This November, we take the fight to this virus and start moving forward."
CR02757442258994200577,2020-09-22,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR02757442258994200577?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=9po_PbpazT0&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," When you've lost your job and your insurance, fear is all that's left. The millions of Americans now facing that fear deserve hope. They deserve care. It starts with a President Who Does."
CR05776613227936874497,2020-09-15,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR05776613227936874497?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=FT5KLt50j5Y&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt, 🎵
CR13985957779857211393,2020-10-01,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR13985957779857211393?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=oE_SMuWlyTY&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt, Nearly one in six small businesses is closed in this country today. Trump took a good economy and drove it back into the ditch. The vice president who helped us get out of the last great recession will be the president who does it again.
CR05228145354481860609,2020-09-03,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR05228145354481860609?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=tBKBF_1Xf0M&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt, Okay.
CR01646530894661419009,2020-08-25,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR01646530894661419009?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=Ohw2QvMUrh8&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Teaching is not what you do, it's who you are. It's who you are. And thank God you are who you are. We're happy to hear it. Yes. I genuinely mean it."
CR16686287968930889729,2020-10-22,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR16686287968930889729?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=JRjR6T4OF4M&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," If I have the honor of being president, I promise you I will lead. My plan lowers health care costs, gets us to universal coverage quickly when Americans desperately need it. By making it less expensive for Americans to choose plans with lower deductibles and out-of-pocket expenses. By lowering prescription drug prices. By ending the practice of so-called surprise billings. When I'm president, I will take care of your health care coverage and your family the same way I would my own. I'm Joe Biden and I approve this message. you"
CR01605791102634295297,2020-09-04,https://adstransparency.google.com/advertiser/AR12365610929977556993/creative/CR01605791102634295297?political=&region=US,AR12365610929977556993,BIDEN FOR PRESIDENT,https://www.youtube.com/watch?v=_lag6yKfC1g&embeds_euri=https%3A%2F%2Fadstransparency.google.com%2F&feature=emb_imp_woyt," Families are reeling right now, enduring illness, losing their employers' plans and droves. They need lifelines now. My plan lowers health care costs, gets us to universal coverage quickly, when Americans desperately need it. This is my promise to you. When I'm president, I will take care of your health care coverage and your family the same way I would my own. I'm Joe Biden, and I approve this message."
